RunList:                        51000-76028 128000-141106
SignalIn:			Q3.FPGAEnergy
SignalOut:			Energy
CalibType:			ChannelEnergyQ3
CalibClass:			LightEnergyCsI
ZRange:			2
CSI-721:			5.16365,0.263359,1.97164e-09,0.341256
CSI-722:			5.09425,0.392007,5.63432e-07,0.703645
CSI-724:			5.12437,0.349643,1.45984e-09,0.539104
CSI-733:			4.90938,0.333473,1.21543e-08,0.553941
CSI-734:			5.13564,0.322758,3.36495e-08,0.521296
CSI-741:			4.49498,0.218269,8.59814e-10,0.285593
CSI-742:			4.56975,0.311734,2.82573e-10,0.497709
CSI-743:			4.45611,0.346999,0.540178,0.683151
CSI-744:			4.92579,0.366365,1.41616e-07,0.515489
CSI-812:			4.59746,0.56497,1.81247e-08,0.644182
CSI-813:			3.94376,0.38424,1.34429e-06,0.482293
CSI-814:			3.83834,0.486643,2.41645e-06,0.607413
CSI-821:			4.94425,0.420115,5.84655e-08,0.522744
CSI-822:			3.29742,0.431424,9.79316e-09,0.508905
CSI-823:			5.08559,0.365972,8.57664e-08,0.406217
CSI-824:			4.5995,0.284248,10,1.30679
CSI-832:			4.74901,0.275153,7.41876,0.963677
CSI-833:			4.88451,0.369185,1.56551e-09,0.448767
CSI-834:			4.72156,0.401756,4.33916e-08,0.516302
CSI-841:			3.4195,0.493406,1.00465e-08,0.580308
CSI-842:			4.8194,0.391304,2.45469e-08,0.448842
CSI-844:			3.33896,0.37595,0.239929,0.472093
CSI-911:			4.80048,0.299623,7.57357,0.945005
CSI-912:			4.42562,0.274356,10,2.32902
CSI-913:			4.40534,0.325143,8.76057,2.81196
CSI-914:			4.92108,0.496985,2.74493e-08,0.555942
CSI-921:			4.12156,0.340901,3.08741e-07,0.429702
CSI-922:			4.73027,0.739836,0.968416,0.827776
CSI-933:			4.53852,0.404394,4.94252,1.10429
CSI-934:			3.99552,0.373283,1.26134e-08,0.563838
CSI-941:			5.20247,0.516539,1.03929e-07,0.551425
CSI-942:			5.34652,0.280386,7.57344,0.932754
CSI-943:			4.90696,0.345304,6.67196,1.06755
CSI-944:			4.93436,0.319996,6.33233,1.10367
CSI-1011:			4.75835,0.286305,5.52646,0.717687
CSI-1012:			4.69431,0.528554,7.17863e-08,0.72092
CSI-1013:			5.07374,0.447802,2.75574e-07,0.591308
CSI-1021:			4.39357,0.504308,3.26759e-08,0.625498
CSI-1022:			4.56037,0.349521,4.79031,0.805734
CSI-1023:			4.94961,0.358857,3.94934e-07,0.433913
CSI-1031:			4.6965,0.262042,10,1.19894
CSI-1032:			3.32951,0.278693,8.88698,2.2717
CSI-1034:			4.50844,0.503155,1.36086e-07,0.582335
CSI-1041:			4.36126,0.228694,10,1.81253
CSI-1042:			3.48894,0.602599,0.505395,0.780654
CSI-1043:			4.52447,0.423957,4.33751e-09,0.594485
CSI-1044:			4.8781,0.551528,1.27045e-06,0.632478
CSI-1111:			4.7553,0.436083,1.02128e-08,0.576439
CSI-1112:			4.93556,0.557879,1.21561,0.769852
CSI-1113:			3.57234,0.315853,7.26409,1.10912
CSI-1121:			4.90655,0.514226,6.38741e-09,0.64829
CSI-1122:			4.60946,0.388322,3.92949,0.88011
CSI-1123:			5.06093,0.552414,0.0584944,0.647906
CSI-1124:			5.08762,0.543734,8.72373e-07,0.654427
CSI-1131:			3.83208,0.520724,4.63395e-07,0.605116
CSI-1132:			4.39731,0.407966,4.15118,1.07829
CSI-1133:			4.91334,0.225478,10,0.589397
CSI-1134:			3.97423,0.374936,2.45237,0.711003
CSI-1141:			5.03094,0.607714,4.22469e-09,0.749616
CSI-1142:			4.57777,0.371053,2.0639,0.601856
CSI-1143:			4.53972,0.234196,10,1.77512
CSI-1144:			4.60479,0.431703,7.10178e-08,0.577728
