# DataSet FAZIAT2103
# Runlist generated by KVFAZIADB::BuildQuickAndDirtyDataBase from files located at:
# --dir=/data/eindraX/fazia/FAZIAT2103/raw/
run=225 | starting date=Sun Apr 18 18:21:57 2021 | nfiles=10 | size(GB)=1.25
run=351 | starting date=Mon Apr 19 00:44:17 2021 | nfiles=10 | size(GB)=1.25
run=140 | starting date=Sun Apr 18 16:23:10 2021 | nfiles=10 | size(GB)=1.25
run=317 | starting date=Sun Apr 18 23:33:00 2021 | nfiles=10 | size(GB)=1.25
run=303 | starting date=Sun Apr 18 23:01:50 2021 | nfiles=10 | size(GB)=1.25
run=132 | starting date=Sun Apr 18 16:11:27 2021 | nfiles=10 | size(GB)=1.25
run=173 | starting date=Sun Apr 18 17:10:19 2021 | nfiles=10 | size(GB)=1.25
run=463 | starting date=Mon Apr 19 04:40:03 2021 | nfiles=10 | size(GB)=1.25
run=386 | starting date=Mon Apr 19 02:06:55 2021 | nfiles=10 | size(GB)=1.25
run=536 | starting date=Mon Apr 19 05:48:12 2021 | nfiles=10 | size(GB)=1.25
run=309 | starting date=Sun Apr 18 23:15:46 2021 | nfiles=10 | size(GB)=1.25
run=418 | starting date=Mon Apr 19 03:33:30 2021 | nfiles=10 | size(GB)=1.25
run=211 | starting date=Sun Apr 18 18:02:17 2021 | nfiles=10 | size(GB)=1.25
run=470 | starting date=Mon Apr 19 04:46:25 2021 | nfiles=10 | size(GB)=1.25
run=121 | starting date=Sun Apr 18 15:57:07 2021 | nfiles=10 | size(GB)=1.25
run=126 | starting date=Sun Apr 18 16:03:30 2021 | nfiles=10 | size(GB)=1.25
run=440 | starting date=Mon Apr 19 04:16:27 2021 | nfiles=10 | size(GB)=1.25
run=546 | starting date=Mon Apr 19 05:57:08 2021 | nfiles=10 | size(GB)=1.25
run=458 | starting date=Mon Apr 19 04:35:24 2021 | nfiles=10 | size(GB)=1.25
run=186 | starting date=Sun Apr 18 17:27:42 2021 | nfiles=10 | size(GB)=1.25
run=243 | starting date=Sun Apr 18 20:22:32 2021 | nfiles=10 | size(GB)=1.25
run=432 | starting date=Mon Apr 19 04:08:45 2021 | nfiles=10 | size(GB)=1.25
run=342 | starting date=Mon Apr 19 00:25:08 2021 | nfiles=10 | size(GB)=1.25
run=109 | starting date=Sun Apr 18 15:28:17 2021 | nfiles=10 | size(GB)=1.25
run=307 | starting date=Sun Apr 18 23:11:38 2021 | nfiles=10 | size(GB)=1.25
run=467 | starting date=Mon Apr 19 04:43:43 2021 | nfiles=10 | size(GB)=1.25
run=360 | starting date=Mon Apr 19 01:08:47 2021 | nfiles=10 | size(GB)=1.25
run=335 | starting date=Mon Apr 19 00:09:47 2021 | nfiles=10 | size(GB)=1.25
run=344 | starting date=Mon Apr 19 00:29:37 2021 | nfiles=10 | size(GB)=1.25
run=261 | starting date=Sun Apr 18 21:03:26 2021 | nfiles=10 | size(GB)=1.25
run=218 | starting date=Sun Apr 18 18:11:53 2021 | nfiles=10 | size(GB)=1.25
run=509 | starting date=Mon Apr 19 05:20:54 2021 | nfiles=10 | size(GB)=1.25
run=431 | starting date=Mon Apr 19 04:07:50 2021 | nfiles=10 | size(GB)=1.25
run=526 | starting date=Mon Apr 19 05:38:34 2021 | nfiles=10 | size(GB)=1.25
run=148 | starting date=Sun Apr 18 16:36:24 2021 | nfiles=10 | size(GB)=1.25
run=150 | starting date=Sun Apr 18 16:39:36 2021 | nfiles=10 | size(GB)=1.25
run=474 | starting date=Mon Apr 19 04:49:26 2021 | nfiles=10 | size(GB)=1.25
run=506 | starting date=Mon Apr 19 05:18:07 2021 | nfiles=10 | size(GB)=1.25
run=375 | starting date=Mon Apr 19 01:42:05 2021 | nfiles=10 | size(GB)=1.25
run=350 | starting date=Mon Apr 19 00:42:11 2021 | nfiles=10 | size(GB)=1.25
run=133 | starting date=Sun Apr 18 16:12:46 2021 | nfiles=10 | size(GB)=1.25
run=331 | starting date=Mon Apr 19 00:01:41 2021 | nfiles=10 | size(GB)=1.25
run=461 | starting date=Mon Apr 19 04:38:10 2021 | nfiles=10 | size(GB)=1.25
run=221 | starting date=Sun Apr 18 18:16:26 2021 | nfiles=10 | size(GB)=1.25
run=322 | starting date=Sun Apr 18 23:44:00 2021 | nfiles=10 | size(GB)=1.25
run=117 | starting date=Sun Apr 18 15:38:36 2021 | nfiles=10 | size(GB)=1.25
run=291 | starting date=Sun Apr 18 22:34:34 2021 | nfiles=10 | size(GB)=1.25
run=450 | starting date=Mon Apr 19 04:27:52 2021 | nfiles=10 | size(GB)=1.25
run=174 | starting date=Sun Apr 18 17:11:36 2021 | nfiles=10 | size(GB)=1.25
run=400 | starting date=Mon Apr 19 02:40:43 2021 | nfiles=10 | size(GB)=1.25
run=466 | starting date=Mon Apr 19 04:42:49 2021 | nfiles=10 | size(GB)=1.25
run=547 | starting date=Mon Apr 19 05:58:02 2021 | nfiles=10 | size(GB)=1.25
run=95 | starting date=Sun Apr 18 15:10:18 2021 | nfiles=10 | size(GB)=1.25
run=357 | starting date=Mon Apr 19 00:59:45 2021 | nfiles=10 | size(GB)=1.25
run=281 | starting date=Sun Apr 18 22:14:01 2021 | nfiles=10 | size(GB)=1.25
run=210 | starting date=Sun Apr 18 18:00:48 2021 | nfiles=10 | size(GB)=1.25
run=257 | starting date=Sun Apr 18 20:53:53 2021 | nfiles=10 | size(GB)=1.25
run=156 | starting date=Sun Apr 18 16:48:18 2021 | nfiles=10 | size(GB)=1.25
run=469 | starting date=Mon Apr 19 04:45:31 2021 | nfiles=10 | size(GB)=1.25
run=226 | starting date=Sun Apr 18 18:23:14 2021 | nfiles=10 | size(GB)=1.25
run=116 | starting date=Sun Apr 18 15:37:21 2021 | nfiles=10 | size(GB)=1.25
run=238 | starting date=Sun Apr 18 20:09:46 2021 | nfiles=10 | size(GB)=1.25
run=372 | starting date=Mon Apr 19 01:34:50 2021 | nfiles=10 | size(GB)=1.25
run=438 | starting date=Mon Apr 19 04:14:23 2021 | nfiles=10 | size(GB)=1.25
run=539 | starting date=Mon Apr 19 05:50:51 2021 | nfiles=10 | size(GB)=1.25
run=403 | starting date=Mon Apr 19 02:49:09 2021 | nfiles=10 | size(GB)=1.25
run=98 | starting date=Sun Apr 18 15:13:54 2021 | nfiles=10 | size(GB)=1.25
run=171 | starting date=Sun Apr 18 17:07:44 2021 | nfiles=10 | size(GB)=1.25
run=205 | starting date=Sun Apr 18 17:53:19 2021 | nfiles=10 | size(GB)=1.25
run=542 | starting date=Mon Apr 19 05:53:32 2021 | nfiles=10 | size(GB)=1.25
run=215 | starting date=Sun Apr 18 18:08:07 2021 | nfiles=10 | size(GB)=1.25
run=355 | starting date=Mon Apr 19 00:55:24 2021 | nfiles=10 | size(GB)=1.25
run=529 | starting date=Mon Apr 19 05:41:42 2021 | nfiles=10 | size(GB)=1.25
run=324 | starting date=Sun Apr 18 23:48:16 2021 | nfiles=10 | size(GB)=1.25
run=436 | starting date=Mon Apr 19 04:12:19 2021 | nfiles=10 | size(GB)=1.25
run=305 | starting date=Sun Apr 18 23:06:52 2021 | nfiles=10 | size(GB)=1.25
run=212 | starting date=Sun Apr 18 18:03:44 2021 | nfiles=10 | size(GB)=1.25
run=153 | starting date=Sun Apr 18 16:44:24 2021 | nfiles=10 | size(GB)=1.25
